epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,14132.2,1.55814,1.40549,1.47002,1,0.90096,0.95044,0.78561,1.37773,1.16736,1.39088,0.00609463,0.00609463,0.00609463
45,14427,1.56012,1.41184,1.47622,1,0.90092,0.95042,0.78581,1.3762,1.1652,1.38926,0.00594097,0.00594097,0.00594097
46,14730.2,1.54514,1.39812,1.4687,1,0.90166,0.95076,0.78622,1.37474,1.16264,1.38785,0.00578639,0.00578639,0.00578639
47,15032.2,1.54635,1.39194,1.46434,1,0.90144,0.95066,0.78604,1.37376,1.15941,1.38658,0.00563104,0.00563104,0.00563104
48,15346.1,1.53886,1.38897,1.46686,1,0.90179,0.95082,0.78635,1.37225,1.15742,1.38567,0.00547507,0.00547507,0.00547507
49,15656.6,1.53895,1.37778,1.45819,1,0.90222,0.95102,0.78635,1.37116,1.15532,1.38428,0.00531864,0.00531864,0.00531864
50,15958.2,1.5407,1.38278,1.46109,1,0.90214,0.95098,0.7863,1.36991,1.15378,1.38283,0.0051619,0.0051619,0.0051619
51,16278.1,1.54021,1.38747,1.46083,1,0.90244,0.95113,0.78668,1.36864,1.15245,1.38153,0.005005,0.005005,0.005005
52,16597,1.53017,1.36503,1.45011,1,0.90248,0.95115,0.78694,1.36748,1.15083,1.38034,0.0048481,0.0048481,0.0048481
53,16911.4,1.5304,1.36471,1.45335,1,0.90235,0.95108,0.7868,1.36675,1.14945,1.37918,0.00469136,0.00469136,0.00469136
54,17225.2,1.5278,1.36284,1.44607,1,0.90205,0.95094,0.78707,1.36587,1.14774,1.37806,0.00453493,0.00453493,0.00453493
55,17536.8,1.5261,1.3564,1.44567,1,0.90253,0.95117,0.78693,1.36491,1.14643,1.37697,0.00437896,0.00437896,0.00437896
56,17848,1.51892,1.35543,1.444,1,0.90279,0.95129,0.78712,1.36429,1.14483,1.37627,0.00422361,0.00422361,0.00422361
57,18150.5,1.52077,1.34843,1.44252,1,0.90261,0.95121,0.78728,1.36364,1.1438,1.37538,0.00406903,0.00406903,0.00406903
58,18453,1.51946,1.35118,1.44021,1,0.9024,0.9511,0.78726,1.36275,1.14227,1.37454,0.00391537,0.00391537,0.00391537
59,18753.2,1.51429,1.3508,1.44154,1,0.90231,0.95106,0.78729,1.36217,1.14103,1.37385,0.00376279,0.00376279,0.00376279
60,19055.6,1.50849,1.34582,1.43617,1,0.9024,0.9511,0.7873,1.36112,1.13986,1.37293,0.00361144,0.00361144,0.00361144
61,19358.3,1.50735,1.34407,1.44028,1,0.90257,0.95119,0.78747,1.36026,1.13932,1.37207,0.00346146,0.00346146,0.00346146
62,19660.8,1.50262,1.33633,1.43201,1,0.90292,0.95135,0.78746,1.35947,1.13823,1.37123,0.003313,0.003313,0.003313
63,19964.1,1.49831,1.33011,1.42721,1,0.90296,0.95137,0.78767,1.35866,1.13708,1.37045,0.00316622,0.00316622,0.00316622
64,20266,1.49921,1.32623,1.42683,1,0.90288,0.95133,0.78776,1.35789,1.13604,1.3698,0.00302125,0.00302125,0.00302125
65,20568,1.49462,1.32161,1.42481,1,0.9034,0.95158,0.78797,1.35707,1.13519,1.36896,0.00287823,0.00287823,0.00287823
66,20868.5,1.49111,1.31938,1.42436,1,0.90375,0.95175,0.78815,1.3563,1.13423,1.36814,0.00273732,0.00273732,0.00273732
67,21168.8,1.49141,1.3218,1.42743,1,0.90375,0.95175,0.78826,1.35558,1.13328,1.3673,0.00259864,0.00259864,0.00259864
